,id,priceLabel,name,brandId,brandName,imageLink,desc,vendor,print,material,cashmere
28,453573290,174.0,Gucci Signature GG jacquard silk tie,1242,Gucci,http://bim.shopstyle.com/pim/1b/3d/1b3d1973841ae658fa38ca4ed87af567_best.jpg,"<ul><li>Charcoal-grey, dark-brown, black and beige GG-jacquard, silk</li><li>Dark-brown GG-jacquard lining </li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
42,458360440,150.02,Gucci printed tie,1242,Gucci,http://bim.shopstyle.com/pim/6b/c6/6bc6249f438d9e8af298bfebb425e879_best.jpg,Blue silk printed tie from Gucci featuring branded rear patch and a printed logo to the rear.,farfetch.com,_print,_silk,False
54,462481298,95.0,Gucci Tie,1242,Gucci,http://bim.shopstyle.com/pim/c8/e0/c8e022939aa0881b659ce576c5484392_best.jpg,"Men's navy, cobalt and multicolor Gucci silk necktie with geometric print and G logo throughout.",TheRealReal,_print,_silk,False
62,424378959,200.0,GG pattern tie.,1242,Gucci,http://bim.shopstyle.com/pim/71/89/718903d184ac4efa4a15a27fcc967d38_best.jpg,"<ul> <li>black with black GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
81,355492358,200.0,Silk Jacquard Tie,1242,Gucci,http://bim.shopstyle.com/pim/93/05/9305e7135a09019ae821dace5f9b941d_best.jpg,"<ul> <li>black</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
100,424378956,200.0,GG pattern tie.,1242,Gucci,http://bim.shopstyle.com/pim/21/3b/213b1167bcb45baadd8b1502565938d7_best.jpg,"<ul> <li>navy with blue GG</li> <li>handmade</li> <li>100% silk jacquard</li> <li>3.2""""W x 54.6""""L</li> </ul>",Gucci,unknown,_silk,False
134,458360259,150.02,Gucci printed tie,1242,Gucci,http://bim.shopstyle.com/pim/7d/d2/7dd2a82919a271c98fe5d9141cd78b07_best.jpg,Blue silk printed tie from Gucci featuring a polka dot pattern.,farfetch.com,_print,_silk,False
136,450711186,170.0,Patterned Woven Silk Bow Tie,1242,Gucci,http://bim.shopstyle.com/pim/5b/f6/5bf61d0b3f3054a1764d921533b4516d_best.jpg,<ul> <li>black and light brown</li> <li>100% silk</li> <li>Made in Italy</li> </ul>,Gucci,unknown,_silk,False
181,458360173,150.02,Gucci printed tie,1242,Gucci,http://bim.shopstyle.com/pim/b7/12/b712d2f5edefa607bcbe1dfe1f433a8c_best.jpg,Grey and black silk printed tie from Gucci featuring a polka dot print and branded rear patch.,farfetch.com,_print,_silk,False
189,453573165,174.0,Gucci Circle-jacquard silk tie,1242,Gucci,http://bim.shopstyle.com/pim/78/ea/78ea757597beceea4d9108d7667082a4_best.jpg,"<ul><li>Matte blue, high-shine blue and silver-grey circle-jacquard, silk</li><li>Black GG-jacquard lining</li><li>100% silk.</li><li>Dry clean</li><li>Country of Origin: Italy</li></ul>",MATCHESFASHION.COM,unknown,_silk,False
